Slime ID,Wave Number,Fitness Pool,Min Path Distance To Sheep,Total Path Distance,Sheep Distance Fitness,Alive Time Fitness,Percentage Of Path Completed Fitness,Average Lifetime Fitness,Parent One,Parent Two,Main Type,Secondary Type,Main Resistance Gene,Main Resistance Trait,Secondary Resistance Gene,Secondary Resistance Trait,Tower Attraction Gene,Tower Attraction Trait,Slime Optimal Distance Gene,Slime Optimal Distance Trait,Speed Gene,Speed Trait,Turn Rate Gene,Turn Rate Trait,Time Alive After Increased Alignment Strength,Offspring Count
0,0,0,46.18058,46.18058,1059.758,3.402823E+38,0,17.26832,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.081115,2.263872,1.911355,1.146273,-0.01698695,2.425093,-3.944677,0.1913038,0,0
1,0,0,46.3138,46.3138,1056.774,3.402823E+38,0,13.81423,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.595187,2.204552,1.355002,0.8927668,1.90079,3.145065,1.622421,0.4206564,0,0
2,0,0,45.67451,45.67451,1071.249,3.402823E+38,0,16.94109,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,3.576863,4.46791,0.3724388,0.5658403,0.2985343,2.527172,0.4050517,0.3474778,0,0
3,0,0,35.95228,35.95228,1353.096,3.402823E+38,0,19.72608,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.9907594,2.729527,3.223133,1.99658,-0.4090515,2.306525,0.4485793,0.3498295,0,0
4,0,0,44.42347,44.42347,1100.753,3.402823E+38,0,12.58074,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.113179,2.259719,2.46626,1.45932,4.10615,4.290291,-0.2466784,0.3144692,0,0
5,0,0,37.23993,37.23993,1307.534,3.402823E+38,0,27.41009,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.6839291,2.628376,1.94541,1.163668,-0.7391739,2.213493,5.17864,0.7281958,0,1
6,0,0,30.05005,30.05005,1610.304,3.402823E+38,0,21.82191,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-3.081912,2.097686,1.256253,0.8534278,-1.105448,2.117196,0.2173722,0.3375526,0,0
7,0,0,35.82285,35.82285,1357.852,3.402823E+38,0,26.69446,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.088398,2.160133,0.8193709,0.6976436,1.591795,3.012342,0.7412266,0.3661365,0,0
8,0,0,44.8783,44.8783,1089.84,3.402823E+38,0,17.62709,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,2.374463,3.415952,1.230445,0.843409,1.956888,3.169883,3.134641,0.5343044,0,0
9,0,0,29.38805,29.38805,1645.384,3.402823E+38,0,19.18286,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.238139,2.399987,-0.2049418,0.4300545,-0.1684186,2.378231,-1.516179,0.2610908,0,0
10,0,0,13.76449,13.76449,3386.505,3.402823E+38,0,32.18069,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.964965,3.166019,1.501082,0.9539613,-2.638867,1.784712,0.6598474,0.3615144,0,2
11,0,0,24.83047,24.83047,1935.698,3.402823E+38,0,15.70214,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.32791,2.142163,0.4723642,0.5931099,2.949558,3.646297,0.5984944,0.3580746,0,2
12,0,0,22.7085,22.7085,2108.948,3.402823E+38,0,14.50235,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,2.645119,3.607944,2.633336,1.566548,3.552366,3.970183,3.096468,0.5311154,0,1
