Slime ID,Wave Number,Fitness Pool,Min Path Distance To Sheep,Total Path Distance,Sheep Distance Fitness,Alive Time Fitness,Percentage Of Path Completed Fitness,Average Lifetime Fitness,Parent One,Parent Two,Main Type,Secondary Type,Main Resistance Gene,Main Resistance Trait,Secondary Resistance Gene,Secondary Resistance Trait,Tower Attraction Gene,Tower Attraction Trait,Slime Optimal Distance Gene,Slime Optimal Distance Trait,Speed Gene,Speed Trait,Turn Rate Gene,Turn Rate Trait,Time Alive After Increased Alignment Strength,Offspring Count
0,0,0,12.63964,12.74209,3665.786,7.217116,0.8040845,7.217116,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.4806279,2.569023,1.172125,0.8211603,3.206514,3.781181,-1.791116,0.2512421,0,0
1,0,1,17.1281,17.26658,2758.149,15.77549,0.8020103,15.77549,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-3.821358,2.067575,-3.17489,0.1007627,-3.722071,1.607985,-0.02019946,0.3254801,0,1
2,0,0,12.21792,12.31727,3782.742,14.1374,0.8065641,14.1374,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,4.910963,6.396985,-3.760562,0.07537633,-1.470915,2.028003,-0.4501932,0.304978,0,1
3,0,1,12.92753,13.03151,3590.012,11.24288,0.7979572,11.24288,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.7625492,2.652912,0.9414202,0.7383019,0.06965715,2.452522,4.782588,0.6872808,0,1
4,0,0,10.47841,10.56343,4356.002,8.443445,0.8048356,8.443445,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.473997,2.132202,0.7658688,0.6804815,3.5241,3.954417,-1.434494,0.2641273,0,0
5,0,1,17.96125,18.10656,2636.957,14.69309,0.8024991,14.69309,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.05738105,2.462501,-0.890451,0.3091157,-2.365814,1.836286,2.936928,0.5179669,0,0
6,0,0,14.91317,15.03463,3142.052,9.672895,0.8079112,9.672895,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.890581,3.125365,-1.322747,0.2505339,1.687147,3.052584,1.846836,0.4358893,0,2
7,0,1,11.6447,11.73746,3954.226,15.25337,0.7902741,15.25337,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-4.72424,2.043068,0.9725476,0.7490151,-1.825116,1.947767,-0.8030537,0.2893957,0,1
8,0,0,11.18628,11.27708,4102.974,14.65627,0.8051634,14.65627,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.4983324,2.35188,-0.4882572,0.3753844,-0.9496035,2.157302,-0.7673366,0.2909237,0,1
9,0,1,14.86771,14.98832,3151.054,11.83902,0.8046985,11.83902,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.3395657,2.531095,-0.01216196,0.4715192,0.9588379,2.761048,0.7995244,0.3694895,0,2
10,0,0,11.86604,11.96123,3886.199,14.81697,0.7958114,14.81697,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.9662059,2.720882,-2.234662,0.1602689,-1.687825,1.978164,0.6061484,0.3585016,0,1
11,0,1,16.99529,17.1334,2778.505,12.31862,0.8061051,12.31862,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.286301,2.145134,-1.687695,0.2096225,-0.4356402,2.298806,1.269493,0.3978211,0,0
12,0,0,14.21908,14.33421,3285.349,10.6198,0.8031905,10.6198,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.06974144,2.434514,1.704386,1.045364,1.390906,2.929623,-1.609169,0.2576963,0,3
13,0,1,10.21515,10.2972,4458.257,13.75697,0.7968187,13.75697,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.4963661,2.352221,-0.9063803,0.3067387,0.3573109,2.546864,-2.04463,0.2426514,0,2
14,0,0,11.77953,11.87383,3912.506,13.13679,0.7941782,13.13679,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.3067639,2.522636,0.9627026,0.7456114,-0.3728606,2.317096,0.6494617,0.3609295,0,2
15,0,1,4.53407,4.570239,9034.942,15.28774,0.7914186,15.28774,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.762189,2.114542,1.365634,0.8970984,-0.784404,2.201214,-0.01397358,0.3257896,0,3
16,0,0,15.89803,16.02464,2958.924,17.32835,0.7900655,17.32835,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.6891397,2.629974,-1.115047,0.2771909,-4.951241,1.453209,1.954127,0.4433705,0,1
17,0,1,5.830969,5.878195,7319.605,14.45322,0.803411,14.45322,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.3913729,2.544729,-3.32135,0.09371421,-0.3267872,2.330663,2.726477,0.5010669,0,1
18,0,0,13.71673,13.82665,3397.494,9.320784,0.7950127,9.320784,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.347656,2.140774,-2.462264,0.1432767,1.883314,3.137379,-1.520392,0.2609356,0,0
19,0,1,10.35947,10.44222,4401.614,11.94402,0.7924139,11.94402,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.367565,2.375299,0.3827564,0.5686005,0.478901,2.588288,2.603688,0.4914402,0,3
20,0,0,10.79252,10.88031,4239.976,10.3268,0.8068919,10.3268,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.4131324,2.550556,1.043266,0.7738872,1.839118,3.118039,-2.733567,0.221525,0,1
21,0,1,13.60379,13.71527,3423.769,17.00944,0.8128345,17.00944,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,4.407299,5.557398,0.4706019,0.5926186,-1.096335,2.119507,1.763258,0.4301507,0,1
22,0,0,4.55867,4.595014,8994.957,13.90601,0.7909477,13.90601,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.206694,2.247972,-3.03577,0.1079429,0.335661,2.539586,0.327248,0.3433212,0,7
23,0,1,11.06421,11.15381,4144.489,10.03599,0.8033097,10.03599,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.4214591,2.552802,0.6151177,0.6342086,2.56246,3.452083,-0.8981423,0.2853806,0,1
24,0,0,14.91042,15.03257,3142.594,13.7386,0.8125901,13.7386,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,2.110625,3.249705,0.1498076,0.5092682,-0.6122446,2.248546,0.6300898,0.3598412,0,1
