Slime ID,Wave Number,Fitness Pool,Min Path Distance To Sheep,Total Path Distance,Sheep Distance Fitness,Alive Time Fitness,Percentage Of Path Completed Fitness,Average Lifetime Fitness,Parent One,Parent Two,Main Type,Secondary Type,Main Resistance Gene,Main Resistance Trait,Secondary Resistance Gene,Secondary Resistance Trait,Tower Attraction Gene,Tower Attraction Trait,Slime Optimal Distance Gene,Slime Optimal Distance Trait,Speed Gene,Speed Trait,Turn Rate Gene,Turn Rate Trait,Time Alive After Increased Alignment Strength,Offspring Count
25,0,1,15.03228,15.15196,3118.707,15.91328,0.7898152,15.91328,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.648265,2.121224,-2.632783,0.1317214,-2.582327,1.795142,-0.3929362,0.3076103,0,2
26,0,0,16.41113,16.54266,2871.726,13.85847,0.7950604,13.85847,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.01990725,2.454072,-1.166039,0.2704017,-0.00533389,2.428756,-2.952327,0.2154502,0,3
27,0,1,15.81699,15.94344,2973.184,15.69317,0.7931232,15.69317,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.3579646,2.535898,0.8091962,0.6943493,-0.8972126,2.17107,1.503587,0.4128156,0,0
28,0,0,6.582324,6.635447,6594.284,18.79932,0.8005857,18.79932,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.1219773,2.423501,1.482886,0.9461393,-2.745771,1.765337,-0.6500787,0.2960175,0,6
29,0,1,8.166086,8.231798,5454.891,11.27701,0.7982731,11.27701,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.356474,2.870802,-2.523173,0.1390388,2.005881,3.191739,1.040531,0.3837266,0,1
30,0,0,13.60296,13.71298,3423.963,12.3576,0.8022845,12.3576,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.47651,2.922678,-2.828865,0.1195673,1.15338,2.83539,2.126831,0.4556844,0,0
31,0,1,22.21848,22.39963,2153.457,15.51123,0.808692,15.51123,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.162916,2.154313,-2.044918,0.1759379,-3.007649,1.719745,2.410953,0.4766769,0,0
32,0,0,21.7549,21.92807,2197.329,14.18334,0.7897258,14.18334,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.3411346,2.380216,0.2887633,0.5439163,-2.574868,1.796528,-0.8995203,0.285323,0,2
33,0,1,10.46429,10.54996,4361.369,16.95116,0.812012,16.95116,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.52556,2.211737,1.695894,1.041395,-2.203379,1.868437,-1.881387,0.2481303,0,3
34,0,0,22.83443,23.02007,2097.806,14.52308,0.8064449,14.52308,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.006432,2.166788,-2.757885,0.1238334,-1.43594,2.036251,-0.300156,0.3119387,0,2
35,0,1,22.45403,22.63239,2131.83,13.16727,0.7880986,13.16727,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,4.631194,5.912833,-0.1872253,0.433715,-0.3051036,2.33709,0.6093897,0.3586826,0,0
36,0,0,3.745838,3.775957,10535.55,15.55647,0.7976592,15.55647,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.8427393,2.678897,-0.7408499,0.3323266,0.4079937,2.564018,1.660249,0.423185,0,8
37,0,1,15.13151,15.25357,3099.523,12.52831,0.8001745,12.52831,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.2930491,2.389324,0.7717577,0.6823512,0.8021511,2.702999,-0.1838779,0.3174745,0,0
38,0,0,8.506969,8.57493,5259.299,15.6763,0.792557,15.6763,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.803257,2.112225,0.3819734,0.5683905,-2.322507,1.844748,-1.425979,0.2644468,0,5
39,0,1,18.66304,18.81483,2542.842,11.70047,0.8067369,11.70047,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-4.4096,2.050391,0.0415649,0.4837364,0.4940615,2.593518,-0.7246456,0.2927645,0,0
40,0,0,24.34627,24.5416,1972.677,14.82878,0.7959008,14.82878,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-3.578539,2.076272,2.591181,1.538902,0.9083029,2.742148,0.4296672,0.3488054,0,1
41,0,1,17.81041,17.95629,2658.103,15.6885,0.8124232,15.6885,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.4573318,2.359063,0.380693,0.5680475,-2.8198,1.752183,-2.188157,0.2379888,0,0
42,0,0,4.160873,4.194795,9688.283,15.94924,0.8086741,15.94924,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.6903132,2.320086,0.804709,0.6929011,-1.143388,2.107623,-0.2374917,0.3149066,0,5
43,0,1,23.62484,23.81389,2030.47,14.84923,0.7938504,14.84923,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.000854,2.73311,0.6730611,0.6516368,0.7882565,2.697929,-0.9101223,0.2848802,0,0
44,0,0,17.1307,17.26924,2757.754,13.83034,0.8022368,13.83034,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,2.02625,3.200559,0.3110723,0.549682,-0.7090191,2.22174,1.923941,0.4412526,0,2
45,0,1,3.856145,3.887458,10296.23,14.37048,0.8054674,14.37048,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.7902377,2.304677,2.217291,1.310901,0.9792868,2.768743,0.1629043,0.3347368,0,1
46,0,0,6.654413,6.708713,6532.18,11.69158,0.8093953,11.69158,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.45621,2.133377,-3.304675,0.09449141,3.699496,4.053154,-0.03327482,0.3248313,0,4
47,0,1,4.861728,4.901089,8529.907,14.22988,0.8030951,14.22988,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-3.232311,2.090635,-0.843463,0.3162317,1.880118,3.135976,0.4906816,0.3521222,0,2
48,0,0,18.50553,18.65385,2563.376,14.31032,0.79512,14.31032,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.097979,2.159373,-0.9148032,0.305489,-0.4974352,2.281021,0.09358884,0.3311948,0,0
49,0,1,12.41502,12.51508,3727.166,15.42271,0.7995188,15.42271,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.662625,3.009031,2.779911,1.665825,-0.9081429,2.168186,0.8690474,0.3735342,0,2
50,0,0,13.86961,13.98076,3362.563,15.50263,0.7950306,15.50263,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.403715,2.136904,0.8321379,0.7017979,-2.284611,1.852219,-2.033172,0.2430298,0,2
51,0,1,14.48251,14.59975,3229.451,15.52239,0.8030295,15.52239,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,2.562583,3.54696,-0.8030864,0.3224728,-1.420159,2.039992,0.7683385,0.3676915,0,2
52,0,0,14.15088,14.26609,3300.139,11.0927,0.8076072,11.0927,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.549304,2.588434,-1.023811,0.2897539,1.600115,3.015828,-0.6563292,0.295743,0,3
53,0,1,14.72164,14.83937,3180.33,14.41436,0.7933795,14.41436,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.9068198,2.287623,-0.2015546,0.430752,-0.8817374,2.175165,-0.0204039,0.3254699,0,0
54,0,0,5.312613,5.355974,7920.651,12.23255,0.809598,12.23255,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,2.303458,3.369269,3.845375,2.540149,2.761796,3.550744,0.9706028,0.379533,0,2
55,0,1,2.562629,2.583336,14034.58,11.51414,0.8015931,11.51414,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.9809861,2.726074,-1.803785,0.1980354,3.328212,3.846715,-2.874716,0.2175722,0,3
56,0,0,12.8084,12.91311,3620.983,13.01596,0.8108377,13.01596,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.00564,2.273909,1.03512,0.7709841,0.2025982,2.495491,0.220301,0.3377049,0,2
57,0,1,10.60868,10.69425,4307.124,12.63644,0.8001924,12.63644,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,2.884966,3.798078,-1.316577,0.2512886,0.6240057,2.638949,-2.596369,0.2254855,0,0
58,0,0,19.92366,20.08016,2389.639,15.45066,0.7793963,15.45066,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.787059,2.113133,1.307727,0.8737338,-2.587965,1.794096,-1.674149,0.255363,0,1
59,0,1,16.64636,16.77759,2833.445,14.54476,0.7821679,14.54476,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.631746,2.994186,0.8556662,0.7095134,-1.351655,2.056375,1.984142,0.4454865,0,1
60,0,0,16.78812,16.92002,2810.865,14.26564,0.7795215,14.26564,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,2.445003,3.463807,0.07245505,0.4908961,-1.488656,2.023842,-0.7707777,0.2907761,0,1
61,0,1,16.95969,17.10081,2784.012,13.47014,0.8252442,13.47014,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.823346,3.089783,-0.1928332,0.4325531,-1.659623,1.984517,0.5399733,0.354829,0,4
62,0,0,11.85847,11.95803,3888.487,9.383022,0.8325696,9.383022,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.9288517,2.70792,-1.701589,0.2082015,2.78546,3.562646,-2.591862,0.2256176,0,5
63,0,1,19.96733,20.13376,2384.662,16.20243,0.8266032,16.20243,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.511793,2.938484,0.5038539,0.6019557,-2.197508,1.86962,-3.390603,0.2041255,0,1
64,0,0,17.01807,17.15983,2774.992,13.12997,0.8261621,13.12997,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,3.056482,3.946546,0.4845014,0.5965049,0.5363759,2.608194,-0.6069268,0.2979221,0,0
65,0,1,19.29494,19.4555,2463.669,19.52188,0.8252859,19.52188,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,3.070894,3.95952,1.849377,1.115197,-4.501445,1.504878,0.9279358,0.3769995,0,3
66,0,0,19.39241,19.55773,2451.892,21.56096,0.8452713,21.56096,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.947905,2.714503,-0.5295633,0.3679935,-2.355837,1.838228,-0.08941335,0.3220642,0,3
67,0,1,17.82345,17.97738,2656.261,23.34862,0.8562326,23.34862,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.3307548,2.382164,2.058464,1.223065,-1.195549,2.094582,0.435127,0.3491007,0,6
68,0,0,21.94909,22.13595,2178.735,14.00477,0.8441091,14.00477,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-3.03343,2.100074,0.7628192,0.6795152,-2.34655,1.840041,-1.703707,0.2543121,0,0
69,0,1,19.84103,20.00932,2399.113,14.40177,0.8410454,14.40177,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-4.053022,2.060202,-2.32444,0.1533415,-0.2403571,2.356442,2.224727,0.462814,0,3
70,0,0,21.55482,21.74077,2216.821,14.24232,0.8552849,14.24232,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.2255979,2.502269,0.03064176,0.4812284,-1.623625,1.992681,-0.6844475,0.2945122,0,0
71,0,1,15.99929,16.13579,2941.3,15.51284,0.8459449,15.51284,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.481879,2.131685,0.1859239,0.5180675,0.7251865,2.675075,-0.4223201,0.3062558,0,1
72,0,0,19.41443,19.58,2449.248,14.77716,0.8456349,14.77716,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.2972456,2.520207,0.08258125,0.4932649,-0.006608024,2.428355,0.1551811,0.3343398,0,0
73,0,1,19.77755,19.94565,2406.444,20.95705,0.8427918,20.95705,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.831634,2.675239,-0.6657629,0.3446023,-3.431098,1.65137,-1.386205,0.2659466,0,1
74,0,0,19.34111,19.50753,2458.077,16.02413,0.8531034,16.02413,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.005795,2.273888,0.3293535,0.5544496,-0.9829786,2.148606,0.1356856,0.3333403,0,1
75,0,1,15.30124,15.42658,3067.251,18.53068,0.8125126,18.53068,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.145619,2.786411,2.688253,1.603167,-0.7770157,2.203212,-2.204167,0.2374774,0,3
76,0,0,21.21743,21.38899,2250.485,11.72538,0.8020878,11.72538,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.974361,2.169466,0.7294406,0.6690211,1.721803,3.067368,-0.9671453,0.2825146,0,1
77,0,1,19.6492,19.7832,2421.401,18.86095,0.6773412,18.86095,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.100243,2.472331,2.31916,1.370016,-3.513118,1.638853,0.358986,0.3450095,0,2
78,0,0,16.92127,17.03805,2789.981,16.46802,0.6854177,16.46802,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,5.793638,8.22861,0.8570538,0.7099709,-3.240566,1.681343,2.639017,0.4941924,0,2
79,0,1,14.0454,14.16687,3323.275,8.801064,0.8574724,8.801064,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.399936,2.22534,-1.697902,0.2085775,4.112256,4.293937,-0.9536943,0.2830702,0,1
80,0,0,15.18594,15.31761,3089.101,11.81942,0.8596361,11.81942,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.1960703,2.408351,-1.61046,0.2176962,1.2233,2.862731,-0.7169174,0.2930994,0,1
81,0,1,18.5489,18.70888,2557.689,9.673699,0.8551061,9.673699,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.4947513,2.572963,-0.8249384,0.3190804,2.425797,3.386098,-3.127386,0.2107949,0,1
82,0,0,14.71248,14.83717,3182.183,13.92165,0.840354,13.92165,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.2937908,2.389182,0.09095383,0.4952317,-1.015889,2.140089,-1.568438,0.2591751,0,2
83,0,1,14.66284,14.7879,3192.27,10.24204,0.8457422,10.24204,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,2.289979,3.360572,3.950349,2.640885,2.249304,3.30287,-1.980014,0.2447975,0,0
84,0,0,13.17191,13.28334,3528.106,21.21156,0.8388758,21.21156,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,2.100625,3.243782,1.689661,1.038492,-2.550892,1.800997,0.8435405,0.3720444,0,5
85,0,1,9.098531,9.174849,4951.215,16.89432,0.8318186,16.89432,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.02108013,2.454333,1.222935,0.8405135,0.206015,2.496609,0.1660977,0.334901,0,5
86,0,0,7.721852,7.787028,5732.727,16.87327,0.8369803,16.87327,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.875583,3.117333,3.647733,2.357481,0.4751417,2.586993,0.1927605,0.3362767,0,1
87,0,1,13.3226,13.43167,3490.987,20.15676,0.8120537,20.15676,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.9290353,2.284482,1.719516,1.052466,-2.288365,1.851476,0.1720587,0.335208,0,3
88,0,0,12.75554,12.85945,3634.9,12.15976,0.808084,12.15976,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.01357146,2.452662,-0.4427171,0.3836983,1.831364,3.11466,3.130912,0.5339921,0,0
89,0,1,16.48675,16.61996,2859.308,10.09469,0.8015215,10.09469,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.208366,2.247767,-0.8821084,0.3103677,2.182331,3.271872,0.861894,0.3731157,0,2
90,0,0,4.410273,4.446315,9241.679,12.68991,0.8106053,12.68991,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.357525,2.230125,1.330899,0.8830166,2.087032,3.228317,0.2247218,0.3379348,0,2
91,0,1,16.09959,16.23028,2924.046,11.56301,0.8051872,11.56301,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.1422068,2.482152,-0.4579226,0.3809029,1.345465,2.911298,-4.064543,0.1887342,0,2
92,0,0,14.04142,14.15559,3324.155,10.10037,0.8065939,10.10037,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.3944364,2.370364,-3.487604,0.08630354,1.818972,3.109268,3.493275,0.5650708,0,1
93,0,1,5.905546,5.953887,7240.557,18.70976,0.8119226,18.70976,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.73569,3.045006,-0.8348895,0.317547,0.05060031,2.44645,-1.56149,0.2594286,0,12
94,0,0,20.23841,20.40366,2354.225,12.71062,0.8099198,12.71062,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.4894794,2.571489,-0.3233444,0.4063382,-0.3714331,2.317515,-0.8331816,0.2881153,0,1
95,0,1,19.62643,19.78685,2424.074,12.6894,0.8107603,12.6894,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.2183319,2.403904,1.108047,0.7973328,-0.3199759,2.332679,0.4241916,0.3485096,0,0
96,0,0,16.15447,16.28499,2914.692,9.200191,0.8014858,9.200191,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.48429,2.131527,-2.028054,0.1774012,2.308079,3.330338,-3.312193,0.2060717,0,0
97,0,1,17.85851,18.00376,2651.323,12.18379,0.8068085,12.18379,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.312136,2.143282,-2.213124,0.161976,0.3475642,2.543584,1.829472,0.4346907,0,0
98,0,0,12.62394,12.72724,3670.01,7.014482,0.8116126,7.014482,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-3.272381,2.088844,-1.700551,0.2083073,5.294983,5.045174,-1.277846,0.2700955,0,2
99,0,1,21.35171,21.52633,2236.966,14.14188,0.8112133,14.14188,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-3.25009,2.089836,0.4048301,0.5745482,-1.087901,2.121649,-0.278405,0.3129648,0,2
100,0,0,17.7785,17.92206,2662.62,19.38875,0.8010268,19.38875,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.7508804,2.310656,-0.5499776,0.3643926,-4.516252,1.503091,-2.110655,0.2404888,0,1
101,0,1,13.90672,14.01889,3354.193,15.96541,0.8001387,15.96541,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.166552,2.252949,1.222504,0.8403476,-0.7990881,2.197251,1.661902,0.4232957,0,2
102,0,0,17.45499,17.59795,2709.294,15.75554,0.8123517,15.75554,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.7267854,2.641638,-0.6057344,0.3547296,-1.224459,2.087414,3.261153,0.5449916,0,0
103,0,1,11.34155,11.43354,4051.356,14.90339,0.8046269,14.90339,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.062856,2.755495,-0.07081167,0.4585175,0.9639981,2.762987,-0.5462162,0.3006294,0,1
104,0,0,4.538262,4.574988,9028.103,20.41049,0.8027554,20.41049,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.134433,2.782161,0.3731314,0.5660251,-1.353628,2.0559,-0.5851467,0.2988896,0,7
105,0,1,18.02476,18.17236,2628.154,16.07908,0.8121789,16.07908,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,2.712338,3.659256,-1.376504,0.2440518,-1.910809,1.929234,-0.2387503,0.3148466,0,1
106,0,0,17.7951,17.94053,2660.268,13.65166,0.8105934,13.65166,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.7659206,2.653985,2.447464,1.447645,-0.05235389,2.414027,1.0559,0.3846552,0,2
107,0,1,16.93612,17.07273,2787.67,16.45928,0.8001685,16.45928,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.243422,2.243504,1.383137,0.9042706,-1.605173,1.99689,0.09400654,0.331216,0,2
108,0,0,17.80453,17.94957,2658.934,15.05362,0.8080542,15.05362,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.624722,2.990839,-3.668247,0.07890895,-1.074717,2.125005,-2.31323,0.2340405,0,2
109,0,1,16.33461,16.46678,2884.403,12.60426,0.8026838,12.60426,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.622602,2.330962,-3.705616,0.0774596,0.908276,2.742139,-1.174134,0.2741539,0,3
110,0,0,12.18534,12.2851,3792.09,18.67441,0.8120298,18.67441,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-5.150445,2.034814,-0.5355266,0.3669381,-1.230754,2.085858,0.6387397,0.3603266,0,2
111,0,1,14.60036,14.72015,3205.054,11.42328,0.8137524,11.42328,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,2.638678,3.603106,3.025663,1.843471,1.792101,3.097615,0.160306,0.3346031,0,0
112,0,0,16.75359,16.88975,2816.331,14.41509,0.8061409,14.41509,N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.9836813,2.276899,-1.719314,0.2064024,-0.4376574,2.298222,-1.809802,0.2505931,0,2
